cluster,violation_count,lat_center,lon_center,lat_std,lon_std,unique_vehicles,peak_violations,dominant_hour,dominant_day,dominant_type,peak_ratio,spread_m,hotspot_score,rank
2,23034,12.973246191113612,77.57758568088747,0.005463101977306811,0.0024586445816949455,19713,5274,3,Thursday,['WRONG PARKING'],0.22896587653034645,664.9855790804398,28308.0,1
3,9865,12.981960632372944,77.60781752064864,0.001478815559036472,0.002977882961230602,8124,1237,5,Sunday,['WRONG PARKING'],0.12539280283831727,369.05926584753104,11102.0,2
27,7042,13.004680159149753,77.55174173471737,0.005550110636604353,0.002498834962122648,6141,795,2,Sunday,['WRONG PARKING'],0.1128940641863107,675.6235847132795,7837.0,3
38,3240,13.002857808487654,77.57066617771605,0.004723484172735803,0.0009698314490270368,2959,261,3,Thursday,['WRONG PARKING'],0.08055555555555556,535.2442072151124,3501.0,4
8,2948,12.93378785992413,77.69090073424664,0.0011201906711282802,0.0010035294034980568,1967,335,23,Thursday,['NO PARKING'],0.11363636363636363,166.93966044022324,3282.9999999999995,5
24,2146,12.96692104646727,77.53782886442603,0.0027192881845750647,0.0014465500363032358,1939,475,5,Saturday,['WRONG PARKING'],0.2213420316868593,341.89144647252454,2621.0,6
19,1685,13.185395411157272,77.68011042658755,0.0019152707648624771,0.0007163770719310318,1614,624,23,Friday,['NO PARKING'],0.37032640949554896,226.97961721073668,2309.0,7
59,2095,12.974358655513127,77.54561302863962,0.0003617989939090535,0.0009126172110202188,1464,208,3,Tuesday,['WRONG PARKING'],0.09928400954653938,108.97061061718894,2303.0,8
16,1605,12.992328716048092,77.5888533887126,0.001200848874252076,0.0004511448883563835,886,435,22,Wednesday,['WRONG PARKING'],0.27102803738317754,142.3905356125412,2039.9999999999998,9
15,1809,12.942040762004206,77.69758692936601,0.004503442799592843,0.0020806764131620194,1740,202,2,Thursday,"['PARKING IN A MAIN ROAD', 'WRONG PARKING']",0.11166390270867883,550.6563488062806,2010.9999999999998,10
6,1178,13.008523915237692,77.69533863918507,0.0007558602761482689,0.0011996401419236524,1079,689,19,Wednesday,['WRONG PARKING'],0.5848896434634975,157.38771483189265,1867.0000000000002,11
63,1080,12.973605440462963,77.55108948064814,0.0003315162876992619,0.00041108013738706334,1028,280,6,Friday,['NO PARKING'],0.25925925925925924,58.61913345805843,1360.0,12
13,1051,12.969669190185991,77.64408688752366,0.0014756710065687293,0.003682831706659249,992,287,2,Sunday,['NO PARKING'],0.2730732635585157,440.38967497032763,1337.9999999999998,13
22,1168,12.973412469940229,77.618063937367,0.0008586829728055223,0.003340148151861216,1022,163,23,Wednesday,['NO PARKING'],0.13955479452054795,382.812047584548,1331.0,14
115,1211,12.963451297322424,77.71733895232805,0.0028104712148261193,0.0010020461539319103,1137,82,23,Tuesday,['WRONG PARKING'],0.06771263418662263,331.1977544530269,1293.0,15
31,941,12.959454621253984,77.5770993957492,0.0011167623018082681,0.0007184731454276429,861,206,23,Wednesday,['WRONG PARKING'],0.21891604675876727,147.39870928474917,1147.0,16
46,948,13.035314523628692,77.58902232183544,0.0005014363991552872,0.0002207764609250082,826,172,23,Wednesday,['NO PARKING'],0.18143459915611815,60.81551203809476,1120.0,17
104,866,12.944189546786955,77.57128490067838,0.0011750064564966403,0.00065197616741997,814,201,5,Thursday,['WRONG PARKING'],0.23210161662817552,149.1582751711294,1067.0,18
201,740,13.000305781059666,77.6769637904024,0.00039134356442880046,0.0007168868358368225,693,296,1,Friday,['WRONG PARKING'],0.4,90.6589753580613,1036.0,19
79,706,12.95313900188812,77.54218756858285,0.0007934783515058755,0.001225062470703811,682,270,19,Saturday,['WRONG PARKING'],0.38243626062322944,162.01384295064315,976.0,20
126,929,12.98129196964478,77.59844532744887,0.00040098779958229214,0.0004865136408510655,569,37,23,Thursday,['WRONG PARKING'],0.03982777179763186,69.98166974802479,966.0,21
152,823,13.071052277399756,77.58793200243014,0.0006187712689357172,0.0004787764183134702,750,80,6,Monday,['WRONG PARKING'],0.09720534629404617,86.84320656275072,902.9999999999999,22
195,727,12.971744540102062,77.65810091307173,0.00018561799467531898,0.00012068789060519404,576,138,2,Thursday,['NO PARKING'],0.18982118294360384,24.575812833813416,865.0,23
21,732,12.957875610944496,77.70160903316963,0.0013199543783825513,0.000992811145514423,677,116,22,Thursday,['NO PARKING'],0.15846994535519127,183.33334520401047,848.0,24
84,706,12.975717607071125,77.5596867505391,8.350254568534556e-05,0.0012174247633619832,661,139,23,Friday,['WRONG PARKING'],0.19688385269121814,135.45164629561017,845.0000000000001,25
36,549,12.993311715996958,77.55352118157741,0.0009470780805953219,0.0009314973923148069,396,290,21,Wednesday,['WRONG PARKING'],0.5282331511839709,147.45230485253927,839.0,26
124,610,12.996217117208216,77.66851638457334,0.0004417836437001285,0.0007610897336998549,558,208,4,Wednesday,"['PARKING IN A MAIN ROAD', 'WRONG PARKING']",0.34098360655737703,97.68191539875174,818.0,27
14,592,13.005719135574981,77.68583349684478,0.0005246961774735292,0.0009491056996715915,574,225,5,Tuesday,['WRONG PARKING'],0.38006756756756754,120.37783462024242,817.0,28
167,565,12.971447179483894,77.60705192115635,0.00189003902799546,0.0005104790221905167,483,234,21,Thursday,['NO PARKING'],0.41415929203539825,217.3117042054854,799.0,29
45,507,12.841981707889547,77.64565966331362,0.0004934072304260349,0.0011108418503782832,484,264,7,Sunday,['WRONG PARKING'],0.5207100591715976,134.91958960463222,771.0,30
7,451,12.912469580501892,77.63468376384269,0.00014037883171028902,0.0010010986929210128,441,275,9,Sunday,['WRONG PARKING'],0.6097560975609756,112.20913134023806,726.0,31
80,648,12.929205196450617,77.5818610191358,0.001417115625710466,0.001364790531261415,559,76,3,Sunday,['NO PARKING'],0.11728395061728394,218.38724304594115,724.0,32
117,687,12.962035340611353,77.59815529199417,0.0003762939586920854,0.0012382312923628362,504,36,22,Wednesday,['NO PARKING'],0.05240174672489083,143.6502063181541,722.9999999999999,33
157,559,12.977027192307693,77.57076778783541,0.0009555970748471466,0.00016187277017316916,544,159,2,Saturday,['NO PARKING'],0.2844364937388193,107.58234086940232,718.0,34
47,421,12.89207373212457,77.63795293475972,0.00106076120741792,0.0008186122163723411,361,272,20,Wednesday,['WRONG PARKING'],0.6460807600950119,148.72924337791557,693.0,35
40,594,12.959672839777216,77.64673029565353,0.0005865431570958109,0.0019810965760941835,571,73,0,Friday,['NO PARKING'],0.12289562289562289,229.3372963343698,667.0,36
4,441,12.995606481405895,77.61398204988663,0.0005447936154415719,0.0007663961531702349,409,224,7,Tuesday,['NO PARKING'],0.5079365079365079,104.37324434180357,665.0,37
18,469,12.927467868336825,77.67968303075213,0.0005643986075290347,0.0009169105745410067,455,184,21,Wednesday,['WRONG PARKING'],0.39232409381663114,119.51307628114733,653.0,38
73,559,12.986012822487579,77.55436602213679,0.0012816880363769627,0.0014393315820121003,497,90,3,Wednesday,['NO PARKING'],0.16100178890876565,213.9278331275274,649.0,39
207,536,12.93567733097015,77.61566707966418,0.0007205863197410584,0.001009324079285652,517,110,3,Sunday,['NO PARKING'],0.20522388059701493,137.65699543291777,646.0,40
83,453,13.191274310507726,77.64624639933776,0.0004445913949647696,0.00047601468076092086,445,183,20,Sunday,['NO PARKING'],0.40397350993377484,72.29939518372886,636.0,41
102,354,12.995206059887005,77.6101425079096,0.001371567312914023,0.000957802649657764,303,250,21,Monday,['WRONG PARKING'],0.7062146892655368,185.69151514383114,604.0,42
143,299,13.09702992374582,77.59954592943144,0.0006328795528859321,0.0005282362388475901,271,259,20,Tuesday,['WRONG PARKING'],0.8662207357859532,91.50400328272848,558.0,43
153,528,12.930582739317341,77.68536382695437,0.0006378502896268155,0.000515817009819151,506,19,2,Tuesday,['NO PARKING'],0.03598484848484849,91.05520047092115,547.0,44
23,478,12.971365856694561,77.5975083207113,0.00027354375614760775,0.0006623778329321109,448,43,2,Friday,['NO PARKING'],0.0899581589958159,79.54686114017423,521.0,45
132,416,12.913676602163461,77.6063948002404,0.00011406820458196041,0.0014396929803158652,384,86,0,Thursday,['NO PARKING'],0.20673076923076922,160.30673005322757,502.0,46
70,396,12.986324594376558,77.54955143535321,0.0030088976224544196,0.0007856376809840211,316,105,21,Tuesday,['WRONG PARKING'],0.26515151515151514,345.1848629062635,501.0,47
76,361,12.906449824573645,77.63009758482274,0.0004968217903185712,0.001362255041724261,351,138,6,Saturday,['WRONG PARKING'],0.38227146814404434,160.95270569942147,498.99999999999994,48
81,368,12.964374932608695,77.55411654211956,0.00022198881068033764,0.001700378391912105,332,115,5,Wednesday,['NO PARKING'],0.3125,190.34366310747987,483.0,49
54,392,12.956362314030613,77.58568084464285,0.0015454847932013472,0.0010346940952828498,375,80,2,Thursday,['NO PARKING'],0.20408163265306123,206.4455312048678,472.0,50
156,400,12.98917235725,77.5990353645,0.0007651284088652538,0.00040338800247783534,352,71,22,Thursday,['WRONG PARKING'],0.1775,96.0097618502516,471.0,51
92,406,13.027741451970444,77.57501791650246,0.0004249014157070431,0.002387443585441903,377,62,5,Tuesday,['WRONG PARKING'],0.15270935960591134,269.1704932876061,467.99999999999994,52
96,362,12.980404067235478,77.55669627135443,0.0004215431597356813,0.0018276563869018625,346,73,6,Thursday,['NO PARKING'],0.20165745856353592,208.19607238623513,435.00000000000006,53
5,379,12.998479578098413,77.54195247677985,0.0005290094822550369,0.0013567591764889787,337,40,3,Tuesday,['WRONG PARKING'],0.10554089709762533,161.64308048483153,419.0,54
208,359,12.977807592825295,77.54414186379813,0.0007741944486814011,0.0013923143791958015,306,60,5,Sunday,['NO PARKING'],0.1671309192200557,176.8323150754742,418.99999999999994,55
91,317,12.987638203785488,77.57450524574132,0.0018271232445767735,0.00019217206842120338,303,92,22,Tuesday,['NO PARKING'],0.2902208201892745,203.92936961611125,409.0,56
