cluster,pcis_rank,road_name,highway_type,lat_center,lon_center,violation_count,unique_vehicles,peak_ratio,dominant_hour,dominant_day,dominant_type,road_capacity_factor,violation_freq,speed_degradation,peak_hour_weight,PCIS,PCIS_score,severity_tier,spread_m
201,1,Outer Ring Road,trunk,13.000305781059666,77.6769637904024,740,693,0.4,1,Friday,['WRONG PARKING'],0.95,0.5925744967862756,0.9478,1.4,0.746984,100.0,CRITICAL,90.6589753580613
46,2,Bellary Road,primary,13.035314523628692,77.58902232183544,948,826,0.1814345991561181,23,Wednesday,['NO PARKING'],0.85,0.6219044826690213,0.94,1.1814,0.58704,78.59,CRITICAL,60.81551203809476
195,3,Pusa Thippasandra Main Road,primary,12.971744540102062,77.65810091307173,727,576,0.1898211829436038,2,Thursday,['NO PARKING'],0.85,0.5904762300253086,0.94,1.1898,0.561336,75.15,CRITICAL,24.575812833813416
17,4,8th Main Road,primary,12.934985637869822,77.53646014260354,169,105,0.6745562130177515,21,Tuesday,['NO PARKING'],0.85,0.418046433224595,0.94,1.6746,0.559348,74.88,CRITICAL,20.804935633097493
16,5,12th Main Road,primary,12.992328716048092,77.5888533887126,1605,886,0.2710280373831775,22,Wednesday,['WRONG PARKING'],0.75,0.684272281068668,0.7992,1.271,0.521304,69.79,CRITICAL,142.3905356125412
83,6,Bengaluru Bellary Road,primary,13.191274310507726,77.64624639933776,453,445,0.4039735099337748,20,Sunday,['NO PARKING'],0.79,0.5344969465872242,0.8625,1.404,0.511327,68.45,CRITICAL,72.29939518372886
72,7,14th Main Road,primary,12.911652108561643,77.63808075856164,292,268,0.3047945205479452,6,Saturday,['NO PARKING'],0.85,0.4825814344933851,0.94,1.3048,0.503108,67.35,CRITICAL,51.98935947130578
63,8,1st Cross Road,secondary,12.973605440462965,77.55108948064814,1080,1028,0.2592592592592592,6,Friday,['NO PARKING'],0.7,0.6373434738649619,0.88,1.2593,0.494406,66.19,CRITICAL,58.61913345805843
476,9,9th Main Road,primary,12.93943975844156,77.58400096623376,77,73,0.6753246753246753,8,Sunday,['WRONG PARKING'],0.85,0.3256861568149476,0.94,1.6753,0.435952,58.36,HIGH,23.849426180715
143,10,Jakkur Main Road,primary,13.09702992374582,77.59954592943144,299,271,0.8662207357859532,20,Tuesday,['WRONG PARKING'],0.85,0.48538035991534717,0.5652,1.8662,0.435173,58.26,HIGH,91.50400328272848
153,11,Outer Ring Road,trunk,12.93058273931734,77.68536382695437,528,506,0.0359848484848484,2,Tuesday,['NO PARKING'],0.95,0.5526220459700903,0.7816,1.036,0.425105,56.91,HIGH,91.05520047092116
240,12,1st Main Road,primary,12.93091336,77.60653703,180,126,0.6166666666666667,21,Friday,['NO PARKING'],0.85,0.4254792874370456,0.7202,1.6167,0.421095,56.37,HIGH,54.638167002178726
18,13,Outer Ring Road,trunk,12.927467868336825,77.67968303075213,469,455,0.3923240938166311,21,Wednesday,['WRONG PARKING'],0.95,0.5386029492893738,0.5871,1.3923,0.418251,55.99,HIGH,119.51307628114732
6,14,MBT Road,secondary,13.008523915237692,77.69533863918507,1178,1079,0.5848896434634975,19,Wednesday,['WRONG PARKING'],0.7,0.6476311639287736,0.5799,1.5849,0.416659,55.78,HIGH,157.38771483189265
20,15,2nd A Cross Road,trunk,12.925880298230084,77.67632185245768,215,206,0.2744186046511628,20,Friday,['WRONG PARKING'],0.88,0.44643653878906536,0.7631,1.2744,0.382058,51.15,HIGH,57.42706331339684
